Q1,Q2,Q3,Q4,Q5,Recommended_Club
A,C,B,A,D,Art Club
D,A,D,A,D,Art Club
B,C,B,A,A,Art Club
B,A,A,A,B,Art Club
A,A,A,B,A,Art Club
D,D,A,A,D,Art Club
A,A,C,A,C,Art Club
D,D,D,C,D,Tech Club
B,A,B,A,D,Sports Club
B,C,C,A,C,Tech Club
C,A,B,B,C,Sports Club
D,A,A,C,C,Tech Club
D,B,C,A,A,Art Club
D,B,A,C,A,Art Club
A,D,D,A,C,Art Club
B,A,C,A,A,Art Club
A,D,D,B,C,Art Club
D,A,D,B,B,Sports Club
B,B,A,B,A,Sports Club
D,B,A,B,A,Art Club
B,D,B,B,A,Sports Club
A,C,A,D,A,Art Club
B,B,C,B,C,Sports Club
C,D,A,D,D,Art Club
A,A,C,D,B,Art Club
B,B,D,D,D,Sports Club
B,B,D,B,C,Sports Club
A,D,A,B,B,Art Club
D,A,C,A,C,Tech Club
A,D,B,B,A,Art Club
A,C,C,D,A,Art Club
D,A,B,D,A,Art Club
C,B,C,B,C,Tech Club
D,D,B,A,C,Art Club
A,B,B,A,D,Art Club
A,C,B,D,B,Sports Club
A,B,A,D,D,Art Club
C,B,A,B,A,Art Club
B,B,D,A,B,Sports Club
D,C,C,B,C,Tech Club
D,B,C,D,C,Tech Club
A,C,C,B,B,Sports Club
A,C,C,B,D,Tech Club
C,D,D,D,A,Art Club
C,D,B,D,C,Tech Club
B,B,D,D,D,Sports Club
B,D,A,C,D,Tech Club
D,A,B,C,C,Tech Club
B,C,D,D,D,Tech Club
A,B,A,B,A,Art Club
C,D,B,B,A,Sports Club
D,D,B,D,A,Art Club
A,B,B,D,A,Art Club
A,D,A,B,B,Art Club
C,B,D,D,A,Tech Club
A,D,C,D,C,Tech Club
D,A,C,D,A,Art Club
C,D,D,C,D,Tech Club
D,B,D,B,B,Sports Club
A,B,D,A,D,Art Club
C,D,A,C,B,Tech Club
B,A,C,C,A,Tech Club
C,B,A,B,B,Sports Club
A,C,D,B,C,Tech Club
C,B,D,C,A,Tech Club
A,D,C,D,A,Art Club
A,B,B,A,B,Sports Club
C,D,C,B,B,Sports Club
B,A,B,A,D,Sports Club
D,B,A,B,D,Sports Club
B,D,A,C,D,Tech Club
A,D,B,B,A,Art Club
C,B,D,D,A,Tech Club
D,A,B,B,B,Sports Club
B,D,D,C,D,Tech Club
D,A,A,D,B,Art Club
C,B,B,C,D,Tech Club
A,A,B,C,C,Tech Club
D,D,B,C,A,Art Club
A,D,B,B,A,Art Club
C,C,A,C,A,Tech Club
D,D,A,C,C,Tech Club
D,A,C,B,C,Tech Club
D,D,B,C,D,Sports Club
A,D,D,B,B,Sports Club
D,C,C,C,B,Tech Club
D,D,C,D,D,Tech Club
A,D,B,D,C,Art Club
B,D,C,C,C,Tech Club
D,D,C,C,B,Tech Club
D,B,B,D,D,Sports Club
B,B,D,A,D,Sports Club
D,A,B,A,A,Art Club
D,D,D,C,B,Sports Club
B,C,A,D,B,Sports Club
B,C,D,C,D,Tech Club
B,D,A,C,D,Tech Club
C,D,C,A,A,Art Club
B,B,D,D,B,Sports Club
C,D,B,A,A,Art Club
A,B,C,C,C,Tech Club
D,A,D,D,A,Art Club
D,B,A,A,A,Art Club
B,D,B,B,B,Sports Club
D,A,C,A,C,Tech Club
B,A,C,C,C,Tech Club
C,D,D,D,B,Sports Club
C,C,D,D,C,Tech Club
B,B,B,A,D,Sports Club
A,B,B,B,D,Sports Club
A,D,D,D,A,Art Club
D,B,B,A,D,Sports Club
A,A,A,D,B,Art Club
D,C,B,B,B,Sports Club
C,D,B,B,A,Sports Club
C,D,D,B,C,Tech Club
D,A,D,A,A,Art Club
B,A,B,C,B,Sports Club
C,C,D,D,B,Tech Club
D,B,D,A,D,Art Club
A,D,A,C,B,Art Club
A,B,D,B,C,Sports Club
A,A,B,B,B,Sports Club
C,C,B,C,D,Tech Club
B,A,C,B,D,Sports Club
C,A,B,C,D,Tech Club
A,A,B,B,C,Sports Club
A,C,D,B,C,Tech Club
A,C,A,D,D,Art Club
B,A,C,B,A,Sports Club
C,B,A,A,C,Tech Club
B,B,C,A,B,Sports Club
B,C,A,C,D,Tech Club
C,D,B,A,A,Art Club
B,B,C,C,C,Tech Club
C,A,D,A,A,Art Club
C,A,C,D,D,Tech Club
B,D,C,B,A,Sports Club
B,D,A,D,A,Art Club
C,B,B,B,A,Sports Club
D,A,A,C,C,Tech Club
D,A,D,B,C,Sports Club
D,B,B,B,A,Sports Club
C,B,C,C,A,Tech Club
D,D,B,A,D,Art Club
